Town,Latitude,Longitude
Carrboro,35.9099875,-79.0752876
Carthage,35.345802,-79.4170543
Cary,35.7882893,-78.7812081
Casar,35.5123517,-81.6173159
Castalia,36.0818186,-78.0574884
Caswell Beach,33.8960076,-78.051102
Catawba,35.6740563,-81.2107215
Cedar Grove,36.1676389,-79.167793
Cedar Point,34.6876305,-77.0730745
Cedar Rock,35.1798384,-82.6340135
Cerro Gordo,34.3221121,-78.9264156
Chadbourn,34.3221129,-78.8269664
Chapel Hill,35.9131542,-79.05578
Charlotte,35.2272086,-80.8430827
Cherryville,35.3787442,-81.3789739
Chimney Rock,35.4327295,-82.2503096
China Grove,35.569306,-80.5817318
Chocowinity,35.5125955,-77.1009232
Claremont,35.7145776,-81.1461917
Clarkton,34.4873922,-78.6561257
Clayton,35.650711,-78.4563914
Clemmons,36.0215258,-80.3819984
Cleveland,35.7331953,-80.6770111
Clinton,34.9979453,-78.3233325
Clyde,35.5334379,-82.910691
Coats,35.4079393,-78.6719592
Cofield,36.3565436,-76.9099577
Colerain,36.201268,-76.7685616
Columbia,35.9176633,-76.2521521
Columbus,34.2814497,-78.666593
Como,36.5015414,-77.0094074
Concord,35.4094178,-80.5800049
Conetoe,35.8157136,-77.4558025
Connelly Springs,35.7399645,-81.5029788
Conover,35.7065004,-81.2184383
Conway,36.4370974,-77.2288563
Cooleemee,35.8104164,-80.5558942
Cornelius,35.481705,-80.8590006
Cove City,35.1873837,-77.3207917
Cramerton,35.2387504,-81.0750757
Creedmoor,36.122741,-78.6862272
Creswell,35.8697755,-76.39322567150396
Crossnore,36.0217938,-81.9295579
Dallas,35.3160401,-81.1764865
Danbury,36.4093047,-80.2058831
Davidson,35.7902384,-80.2115053
Denton,35.6334713,-80.1158813
Dillsboro,35.3700615,-83.2506638
Dobbins Heights,34.9048772,-79.6922771
Dobson,36.3956891,-80.722567
Dortches,36.0112646,-77.8574809
Dover,35.216274,-77.436907
Drexel,35.7579081,-81.6042614
Dublin,34.6568361,-78.726407
Duck,36.1700137,-75.7559261
Dunn,35.3062743,-78.6089028
Durham,35.996653,-78.9018053
Earl,35.1934623,-81.5331467
East Arcadia,34.382113,-78.3233353
East Bend,36.216528,-80.512558
East Spencer,35.6818059,-80.4322801
Eastover,35.099219,-78.78829551256487
Eden,36.4884715,-79.7667026
Edenton,36.057938,-76.6077213
Efland,36.0812507,-79.1691812
Elizabeth City,36.2956836,-76.2247697
Elizabethtown,34.6293372,-78.6052899
Elk Park,36.1573464,-81.9781722
Elkin,36.2440516,-80.8507344
Ellenboro,35.3287949,-81.7587106
Ellerbe,35.0712608,-79.7614395
Elm City,35.8065455,-77.863315
Elon,36.1029132,-79.5066895
Emerald Isle,34.6653135,-77.0382187
Enfield,36.1809865,-77.6666415
Erwin,35.3268292,-78.676128
Eureka,35.54266,-77.8763717
Everetts,35.8348814,-77.1735714
Fair Bluff,34.3134996,-79.0372544
Fairmont,34.4968311,-79.114202
Fairview,35.52218955,-82.39268284316401
Faison,35.11647000000001,-78.13665658836999
Faith,35.587084,-80.4628385
Falcon,35.1898868,-78.6483498
Falkland,35.6983006,-77.5135397
Fallston,35.4284117,-81.5014757
Farmville,35.5954381,-77.5852496
Fayetteville,35.0525759,-78.878292
Flat Rock,36.3912564,-78.3677745
Fletcher,35.4306712,-82.5012316
Forest City,35.3340108,-81.8651028
Forest Hills,35.297322,-83.1934785
Fountain,35.6740478,-77.6399741
Four Oaks,35.4455571,-78.4294653
Foxfire,35.1754312,-79.5714258
Franklin,36.1028596,-78.2787229
Franklinton,36.1018163,-78.4580543
Franklinville,35.7437485,-79.6922501
Fremont,35.5454378,-77.9747087
Fuquay-Varina,35.5843849,-78.7998691
Gamewell,35.8692971,-81.5962082
Garland,34.785863,-78.39528950755911
Garner,35.7112642,-78.6141709
Garysburg,36.450985,-77.5588661
Gaston,35.2849659,-81.179014
Gastonia,35.2622654,-81.1838186
Gatesville,36.4085245,-76.75316166000877
Gibson,34.7590477,-79.6106104
Gibsonville,36.09791955,-79.54583336494393
Glen Alpine,35.7290168,-81.7792661
Godwin,35.2176639,-78.6803668
Goldsboro,35.3848841,-77.9927651
Graham,36.0690258,-79.4005756
Grandfather,36.0990163,-81.8476114
Granite Falls,35.7965205,-81.4306458
Granite Quarry,35.6123617,-80.4467263
Grantsboro,35.1406429,-76.84246
Green Level,36.1209704,-79.3441861
Greenevers,34.8223896,-77.9269273
Greensboro,36.0726355,-79.7919754
Greenville,35.613224,-77.3724593
Grifton,35.3978455,-77.43257498505285
Grimesland,35.5634956,-77.1921806
Grover,35.1745756,-81.4498097
Halifax,36.2494056,-77.66834
Hamilton,35.9446027,-77.2096844
Hamlet,34.8848533,-79.6942758
Harmony,35.9556911,-80.7717346
Harrells,34.727551000000005,-78.20144638710032
Harrellsville,36.3026868,-76.7924773
Harrisburg,35.3258295,-80.6454979
Hassell,35.907936,-77.2785755
Havelock,34.8785,-76.9014457
Haw River,36.091526,-79.3641862
Hayesville,35.0462349,-83.817935
Hemby Bridge,35.109955,-80.63993746711799
Henderson,36.3295905,-78.3991638
Hendersonville,35.3187279,-82.4609528
Hertford,36.3560545,-77.0115135
Hickory,35.7333312,-81.3442915
High Point,35.9556924,-80.0053176
High Shoals,35.4026352,-81.2023016
Highlands,35.0525909,-83.1968173
Hildebran,35.7140208,-81.4220334
Hillsborough,36.0752088,-79.0992085
Hobgood,36.0295946,-77.3980465
Hoffman,35.032378,-79.5475437
Holden Beach,33.9135061,-78.3038892
Holly Ridge,35.585643950000005,-78.75222208442409
Holly Springs,35.6512655,-78.8336218
Hookerton,35.4251622,-77.5883039
Hope Mills,34.9704419,-78.9453056
Hot Springs,35.8923253,-82.8290318
Hudson,35.8484645,-81.4959267
Huntersville,35.4108278,-80.8429304
Indian Beach,34.6865508,-76.8952181
Indian Trail,35.0768141,-80.6692352
Jackson,35.2962391,-83.1388055
Jacksonville,34.7494749,-77.4208221
Jamestown,35.9941053,-79.9356589
Jamesville,35.8112719,-76.896616
Jefferson,36.420403,-81.4734376
Jonesville,36.2393013,-80.8445152
Kannapolis,35.4874708,-80.621438
Kelford,36.1796007,-77.2235757
Kenansville,34.9623883,-77.9622069
Kenly,35.5959363,-78.1240031
Kernersville,36.1198589,-80.0736533
Kill Devil Hills,36.0321186,-75.6776147
King,36.275245999999996,-80.36568613272892
Kings Mountain,35.2450607,-81.3410516
Kingstown,35.3512389,-81.612316
Kinston,35.2626635,-77.5816353
Kittrell,36.2220919,-78.4377758
Kitty Hawk,36.0664318,-75.6935448
Knightdale,35.7878975,-78.4822938
Kure Beach,33.9968399,-77.9072081
La Grange,35.3068293,-77.7880338
Lake Lure,35.4278969,-82.2048343
Lake Park,35.0859691,-80.6355536
Lake Santeetlah,35.364846,-83.8620868
Lake Waccamaw,34.3190578,-78.5000088
Landis,35.5456947,-80.6108998
Lansing,36.4993936,-81.5109852
Lasker,36.3503041,-77.305728
Lattimore,35.3181818,-81.6606513
Laurel Park,35.4067274,-80.65240472148403
Laurinburg,34.7740495,-79.4628248
Lawndale,35.4140187,-81.5631474
Leggett,35.9898083,-77.57996
Leland,34.2203056,-78.0335992
Lenoir,35.2590371,-77.6484879
Lewiston Woodville,36.1229347,-77.1766291
Lewisville,36.0970819,-80.4192216
Lexington,35.8240265,-80.2533838
Liberty,35.8534705,-79.5716903
Lilesville,34.9676535,-79.9845032
Lillington,35.399121,-78.8156001
Lincolnton,35.473745,-81.2545251
Linden,35.2548851,-78.7472447
Littleton,36.4348946,-77.9119615
Locust,35.272671450000004,-80.43557136558476
Long View,35.7218779,-81.38553835728578
Louisburg,36.0990393,-78.301106
Love Valley,35.9898553,-80.988132
Lowell,35.2679163,-81.1028542
Lucama,35.6454365,-78.0097099
Lumber Bridge,34.8884971,-79.0722541
Lumberton,34.6183433,-79.0083993
Macclesfield,35.7521022,-77.6699752
Macon,35.1436639,-83.3977297
Madison,35.8482034,-82.6931063
Maggie Valley,35.5181575,-83.0976419
Magnolia,34.8965563,-78.0541545
Maiden,35.5766048,-81.2139216
Manteo,35.9082257,-75.6757303
Marietta,34.3690764,-79.1221944
Marion,35.6841022,-82.0091028
Marshville,34.988486,-80.3670085
Mars Hill,35.8263793,-82.5486848
Marshall,35.7974807,-82.6839313
Marvin,34.999286999999995,-80.82109985552725
Matthews,35.1159532,-80.7224386
Maxton,34.7351615,-79.3489317
Mayodan,36.4123597,-79.9669857
Maysville,34.9048814,-77.2313436
McAdenville,35.2593056,-81.0753535
McDonald,34.5541552,-79.175405
McFarlan,34.8123776,-79.9758956
Mebane,36.0959715,-79.2669619
Mesic,35.2004454,-76.6438169
Micro,35.5637705,-78.2044405
Middleburg,36.3999837,-78.322989
Middlesex,35.7901316,-78.2042904
Midland,35.2273656,-80.5006219
Midway,35.9534706,-80.2181043
Mills River,35.3963951,-82.5734951
Milton,36.5388422,-79.2065976
Mineral Springs,34.9379274,-80.6686791
Minnesott Beach,34.9687716,-76.8116033
Mint Hill,35.1735388,-80.6570377
Misenheimer,35.4848625,-80.2883904
Mocksville,35.8940236,-80.5617846
Momeyer,35.9612646,-78.0569327
Monroe,34.9854275,-80.5495112
Montreat,35.6442841,-82.3028972
Mooresboro,35.2987362,-81.6989863
Mooresville,35.5848596,-80.8100724
Morehead City,34.7229391,-76.7260436
Morganton,35.7454291,-81.6870837
Morrisville,35.824341,-78.8300321
Morven,34.8640437,-80.0011724
Mount Airy,36.4993297,-80.6071609
Mount Gilead,35.2148671,-80.0022784
Mount Holly,35.2976298,-81.0161686
Mount Olive,35.1965532,-78.0663788
Mount Pleasant,35.399308,-80.4358963
Murfreesboro,36.4423754,-77.0985753
Murphy,35.0875836,-84.0346315
Nags Head,35.9573923,-75.624062
Nashville,35.974598,-77.9655406
Navassa,34.2554474,-78.0074906
New Bern,35.1084931,-77.0441143
New London,35.4431965,-80.2192225
Newland,36.0873484,-81.9273363
Newport,34.7865497,-76.8591057
Newton,35.6630887,-81.2219363
Newton Grove,35.2454313,-78.3543933
Norlina,36.4456097,-78.1982132
Norman,35.1705641,-79.7228453
North Topsail Beach,34.4901665,-77.43163
North Wilkesboro,36.1584651,-81.1475841
Northwest,34.3129464,-78.1611077
Norwood,35.2195898,-80.1189477
Oak City,35.9637687,-77.3080209
Oak Island,33.9046184,-78.0827699
Oak Ridge,36.1736211,-79.9892172
Oakboro,35.2257007,-80.3289521
Ocean Isle Beach,33.8943393,-78.426672
Old Fort,35.6290093,-82.1806697
Oriental,35.0312553,-76.6926676
Orrum,34.4658861,-79.0090289
Ossipee,36.1720794,-79.5105794
Oxford,36.3107004,-78.5908345
Pantego,35.5890535,-76.6621569
Parkton,34.9026635,-79.0116971
Parmele,35.8165476,-77.3141317
Patterson Springs,35.235407,-81.5145344
Peachland,34.993766,-80.2645069
Peletier,34.730404,-77.0844229
Pembroke,34.6801627,-79.1950373
Pikeville,35.497105,-77.9819312
Pilot Mountain,36.3401384,-80.4742242
Pine Knoll Shores,34.6973838,-76.8132697
Pine Level,35.5122519,-78.2445838
Pinebluff,35.1098795,-79.4722589
Pinehurst,35.1946235,-79.4679317
Pinetops,35.7884908,-77.6377521
Pineville,35.0855409,-80.8871253
Pink Hill,35.0551639,-77.7463653
Pittsboro,35.7201229,-79.1771539
Pleasant Garden,35.9621197,-79.762131
Plymouth,35.8668281,-76.7485555
Polkton,35.0076546,-80.2008947
Polkville,35.4176278,-81.6428725
Pollocksville,35.0059914,-77.2210654
Powellsville,36.225712,-76.9330114
Princeton,35.4659942,-78.1605497
Princeville,35.8896014,-77.5321937
Proctorville,34.4766061,-79.0363154
Raeford,34.9809996,-79.2241998
Raleigh,35.7803977,-78.6390989
Ramseur,35.7334711,-79.6525267
Randleman,35.8179143,-79.8030873
Ranlo,35.2862489,-81.130355
Raynham,34.5766268,-79.1897486
Red Cross,35.2673659,-80.3556188
Red Oak,36.0385169,-77.9062762
Red Springs,34.815158,-79.1837649
Reidsville,36.3548586,-79.6644748
Rennert,34.8143301,-79.0808661
Rhodhiss,35.767472999999995,-81.4318466318295
Rich Square,36.2737186,-77.2845336
Richfield,35.4701406,-80.2578343
Richlands,34.8993298,-77.5466343
River Bend,35.0690481,-77.146896
Roanoke Rapids,36.4610756,-77.6548026
Robbins,35.434034,-79.5869735
Robbinsville,35.3227597,-83.8069988
Robersonville,35.8251589,-77.2491298
Rockingham,36.3926798,-79.744144
Rockwell,35.5512508,-80.4064485
Rocky Mount,35.9423833,-77.7956949
Rolesville,35.9232862,-78.4573914
Ronda,36.218467,-80.9411859
Roper,35.8779766,-76.6151847
Rose Hill,34.8282235,-78.0230417
Roseboro,34.9529475,-78.5086181
Rosman,35.1436895,-82.8220186
Rowland,34.5365518,-79.2914306
Roxboro,36.3937519,-78.9827881
Roxobel,36.2029338,-77.2452433
Rural Hall,36.2404158,-80.2933838
Ruth,35.3820659,-81.9470489
Rutherford College,35.7501398,-81.5247859
Rutherfordton,35.3692877,-81.9567716
Salemburg,35.0154469,-78.5030622
Salisbury,35.6709727,-80.4742261
Saluda,35.2382805,-82.34565685952055
Sandy Creek,36.286192,-78.310408
Sandyfield,34.3765573,-78.2969455
Sanford,35.4798757,-79.1802994
Saratoga,35.6536691,-77.7756011
Sawmills,35.8245638,-81.4741107
Scotland Neck,36.1296002,-77.4202475
Seaboard,36.4901519,-77.4413634
Seagrove,35.5408425,-79.7778859
Sedalia,36.0673577,-79.6205812
Selma,35.5365485,-78.2844435
Seven Devils,36.1559724,-81.7996604
Seven Springs,35.2462256,-82.6834572
Severn,36.5151521,-77.1896894
Shallotte,33.9732275,-78.3858371
Sharpsburg,35.8671926,-77.8276196
Shelby,35.2923513,-81.5356463
Siler City,35.7234734,-79.4622431
Simpson,35.5751619,-77.278573
Sims,35.76074,-78.0594124
Smithfield,35.5085531,-78.33936
Snow Hill,35.4515504,-77.6810859
Southern Pines,35.1740471,-79.3922539
Southern Shores,36.1390533,-75.7315719
Southport,33.921563,-78.0202677
Sparta,36.5055712,-81.1207497
Speed,35.9689505,-77.4436379
Spencer,35.6920144,-80.4347596
Spencer Mountain,35.306903500000004,-81.11239437290715
Spindale,35.3601212,-81.929271
Spring Hope,35.9451536,-78.1119345
Spring Lake,35.1679396,-78.9728056
Spruce Pine,35.9147787,-82.066411
St. Helena,34.5177355,-77.91838104660317
St. James,33.9293402,-78.1163822
St. Pauls,34.8070226,-78.9707787
Staley,35.7959711,-79.551412
Stallings,35.1083615,-80.66355902160382
Stanfield,35.2334772,-80.4270094
Stanley,35.3590256,-81.0970214
Stantonsburg,35.6068259,-77.8233139
Star,35.4020838,-79.7842049
Statesville,35.7826363,-80.8872959
Stedman,35.0134999,-78.6939063
Stem,36.199867,-78.7222261
Stokesdale,36.2372048,-79.9793529
Stoneville,36.4582662,-79.93221213276846
Stonewall,35.1373893,-76.7477081
Stovall,36.4481986,-78.5702786
Sugar Mountain,36.124571,-81.8756682
Summerfield,36.2087468,-79.9047583
Sunset Beach,33.880728,-78.512231
Surf City,34.46505775,-77.57412315290213
Swansboro,34.6896728,-77.1232174
Swepsonville,36.0212488,-79.3614076
Sylva,35.3737111,-83.2259803
Salzburg,36.0604893,-78.8856423
Tabor City,34.1487804,-78.8766916
Tar Heel,34.7331708,-78.7904075
Tarboro,35.8968236,-77.5358049
Taylorsville,35.9219402,-81.1763421
Taylortown,35.2076564,-79.4858653
Teachey,34.7682241,-78.0080407
Thomasville,35.8831786,-80.081817
Tobaccoville,36.2261575,-80.34160419719514
Topsail Beach,34.3651685,-77.6305293
Trent Woods,35.0821039,-77.0863383
Trenton,35.0636588,-77.3534758
Trinity,35.8947375,-79.9909647
Troutman,35.7005832,-80.8882314
Troy,35.3584743,-79.8944901
Tryon,35.2081695,-82.2384479
Turkey,34.9923888,-78.183049
Unionville,35.0873694,-80.5089552
Valdese,35.7431562,-81.5633738
Vanceboro,35.3084953,-77.1541195
Vandemere,35.1840563,-76.6635394
Varnamtown,33.9357283,-78.2486091
Vass,35.2562684,-79.2822491
Vienna,36.1376379,-80.4019988
Waco,35.36172,-81.428486
Wade,35.1629419,-78.7361323
Wadesboro,34.9681767,-80.07674
Wagram,34.8879397,-79.3661515
Wake Forest,35.9803138,-78.5103731
Walkertown,35.6534497,-82.3390098
Wallace,34.735724,-77.9952628
Wallburg,36.0101371,-80.1392118
Walnut Cove,36.295415,-80.1417121
Walnut Creek,35.3071071,-77.8649817
Walstonburg,35.5946041,-77.6969203
Wanchese,35.8426729,-75.6385055
Warrenton,-28.1113889,24.8497222
Warsaw,34.9993329,-78.091101
Washington,35.8725573,-76.6215245
Washington Park,35.532663,-77.0324509
Watha,34.6404453,-77.9608196
Waxhaw,34.9248125,-80.7440174
Waynesville,35.4887476,-82.9888725
Weaverville,35.6967238,-82.5603625
Webster,35.346211,-83.2193132
Weddington,35.0223708,-80.7609035
Weldon,36.4214765,-77.61842090482153
Wendell,35.780987,-78.3697213
Wentworth,36.4001371,-79.7744792
Wesley Chapel,35.0070935,-80.6745131
West Jefferson,36.4037364,-81.4928829
Whispering Pines,35.2557123,-79.3722503
Whitakers,36.105534500000005,-77.71278149494381
White Lake,34.640449,-78.4838952
Whiteville,34.3387802,-78.7030721
Whitsett,36.0712466,-79.5644686
Wilkesboro,36.145965,-81.1606401
Williamston,35.8546039,-77.0555114
Wilmington,34.2257282,-77.9447107
Wilson,35.7059114,-77.9175714
Wilson's Mills,35.5829914,-78.3554751
Windsor,35.9984925,-76.9460641
Winfall,36.2190463,-76.46383
Wingate,34.9843176,-80.4492319
Winston-Salem,36.0998131,-80.2440518
Winterville,35.5290511,-77.4010762
Winton,36.3957098,-76.9319035
Woodfin,35.633444,-82.5820725
Woodland,36.3315434,-77.2127436
Wrightsville Beach,34.2079917,-77.7955907
Yadkinville,36.1345807,-80.6595079
Yanceyville,36.4040273,-79.3361314
Youngsville,36.0247769,-78.4767034
Zebulon,35.8221621,-78.3132126
Zionville,36.3348472,-81.7431667
